tail_number,engine_uid
N3986G,1IA003
ES-SAZ,1IA003
OE-IFR,1IA003
OE-LAB,1IA003
N401UA,1IA003
N460UA,1IA003
N463UA,1IA003
N468UA,1IA003
N478UA,1IA003
N486UA,1IA003
VQ-BCZ,3CM026
ZS-GAW,1IA001
ZS-GAP,1IA001
ZS-GAZ,1IA001
VP-BWY,1IA003
N633VA,3CM026
N229NV,3CM026
N240NV,3CM026
N241NV,3CM026
N231NV,3CM026
N232NV,3CM026
D6-LAE,1CM008
XU-113,3CM026
OE-IET,3CM026
OE-IHY,8IA010
N1914U,1IA003
N4911U,1IA003
YL-LDJ,1IA003
9H-WZS,1IA003
N697NK,1IA003
N698NK,1IA003
EP-ZAL,1CM008
EP-ZAP,1CM008
EP-ZAT,3CM026
EP-ZAV,1CM009
4K-AZ54,1CM009
EP-DAC,1IA003
EP-TTB,1IA001
EP-TTC,1IA001
N252NJ,1IA001
D6-LEO,1IA001
SU-GBA,1IA001
SU-GBB,1IA001
SU-GBD,1IA001
TS-IMC,1CM008
TS-IME,1CM008
YA-TTD,3CM026
Z-WPM,3CM026
YR-RAM,1IA003
YR-HAA,3CM028
YR-HAB,3CM028
EK-FOC,8IA010
EK-FOB,8IA010
EX-32009,1IA003
EX-32008,1IA003
YR-JUL,1IA003
YR-DSE,1IA003
C5-SUA,1CM008
G-EUUT,1IA003
G-EUUV,1IA003
G-EUUW,1IA003
G-EUUX,1IA003
G-EUUY,1IA003
G-MEDK,1IA003
G-GATU,1IA003
G-GATS,1IA003
G-GATR,1IA003
G-GATP,1IA003
G-GATN,1IA003
G-GATK,1IA003
G-GATM,1IA003
G-GATL,1IA003
D-ADDY,01P08CM105
D-ANNE,1IA003
D-ANDI,1IA003
5A-TAJ,1IA003
OY-KAW,1IA003
5A-BAA,3CM026
SU-SKE,1IA003
SU-SKB,1IA003
SU-SKC,1IA003
XU-818,01P08CM105
XU-819,01P08CM105
N724AV,01P08CM105
N728AV,01P08CM105
N281AV,3CM026
N284AV,3CM026
N477AV,01P08CM105
N562AV,01P08CM105
9H-GTS,1IA003
EC-LZD,01P08CM105
N426AV,01P08CM105
N451AV,01P08CM105
