departure_date_local,timestamp_utc_start,timestamp_utc_end,carrier,flight_number,tail_number,origin_airport,destination_airport,attributed_contrail_km,eef_climatology_terajoules,analyzed_flight_length_km
2024-08-09,null,null,D0,701,GDHLW,CVG,BAH,null,null,2409.647786
2024-08-08,1723161139,1723162218,D0,372,GDHLO,LEJ,CVG,61.31477325,36.40415856,641.7924899
2024-08-08,null,null,D0,916,GDHLY,LAX,EMA,null,null,5324.251512
2024-08-09,null,null,D0,367,GDHLR,JFK,EMA,null,null,1775.659137
2024-08-19,1724056116,1724056296,D0,2,GDHLU,EMA,CVG,41.73164938,3.609102795,1961.585222
2024-08-19,1724059303,1724059649,D0,2,GDHLU,EMA,CVG,83.01502521,5.874212667,1961.585222
2024-08-04,null,null,D0,968,GDHLX,LAX,EMA,null,null,4343.299837
2024-08-05,null,null,D0,317,GDHLP,CVG,LEJ,null,null,2043.958623
2024-08-05,null,null,D0,375,GDHLU,CVG,BRU,null,null,2307.08352
2024-08-27,1724765492,1724765598,D0,4,GDHMC,CVG,NGO,25.57502961,1.362032192,2356.865036
2024-08-27,1724764404,1724764712,D0,4,GDHMC,CVG,NGO,74.46006259,3.329647789,2356.865036
2024-08-27,null,null,D0,709,GDHLU,CVG,BAH,null,null,2425.40819
2024-08-28,null,null,D0,372,GDHLM,EMA,CVG,null,null,1781.412532
2024-08-20,null,null,D0,375,GDHLM,CVG,BRU,null,null,2141.887335
2024-08-24,null,null,D0,1,GDHLE,CVG,EMA,null,null,2459.906001
2024-08-23,null,null,D0,384,GDHLE,LEJ,CVG,null,null,552.2102434
2024-08-20,1724210115,1724210895,D0,523,GDHMC,HKG,CVG,206.6300776,121.3854307,3287.690545
2024-08-20,1724204190,1724204356,D0,523,GDHMC,HKG,CVG,43.60111194,27.75296245,3287.690545
2024-08-20,1724210955,1724211079,D0,523,GDHMC,HKG,CVG,33.2143373,19.32952836,3287.690545
2024-08-20,1724211135,1724211320,D0,523,GDHMC,HKG,CVG,49.57144979,28.64438202,3287.690545
2024-08-28,null,null,D0,4,GDHMA,EMA,CVG,null,null,1867.899009
2024-08-29,null,null,D0,4,GDHMA,CVG,NGO,null,null,2685.861695
2024-08-28,null,null,D0,384,GDHLL,LEJ,CVG,null,null,1903.567275
2024-08-21,1724241204,1724241266,D0,2,GDHMB,CVG,NGO,15.52645849,1.04323927,2739.944086
2024-08-21,1724240239,1724240421,D0,2,GDHMB,CVG,NGO,44.04584863,2.996707587,2739.944086
2024-08-21,1724240601,1724241023,D0,2,GDHMB,CVG,NGO,103.5877868,7.062679306,2739.944086
2024-08-21,null,null,D0,384,GDHLX,LEJ,CVG,null,null,1762.846272
2024-08-22,null,null,D0,367,GDHLS,JFK,EMA,null,null,1403.922303
2024-08-22,null,null,D0,1,GDHLX,CVG,EMA,null,null,2123.189033
2024-08-27,1724767841,1724767895,D0,1,GDHLV,CVG,EMA,15.06856872,1.814139494,2798.336985
2024-08-31,null,null,D0,376,GDHLR,EMA,CVG,null,null,1992.699649
2024-08-31,null,null,D0,4,GDHLY,CVG,NGO,null,null,845.743568
2024-08-23,null,null,D0,375,GDHLP,CVG,BRU,null,null,2311.57044
2024-08-22,null,null,D0,372,GDHLP,EMA,CVG,null,null,1932.997444
2024-08-23,null,null,D0,367,GDHLJ,JFK,EMA,null,null,1461.922966
2024-08-26,null,null,D0,385,GDHMA,CVG,EMA,null,null,2509.015559
2024-08-26,null,null,D0,4,GDHMC,EMA,CVG,null,null,2200.04907
2024-08-27,null,null,D0,1,GDHLV,NGO,CVG,null,null,2750.07961
2024-08-06,1722989895,1722990149,D0,384,GDHLU,LEJ,CVG,63.64606249,43.58091636,1693.587382
2024-08-06,1722989017,1722989257,D0,384,GDHLU,LEJ,CVG,32.36919142,22.46694519,1693.587382
2024-08-28,1724847868,1724848002,D0,701,GDHMB,CVG,BAH,37.06355438,4.503422929,2671.056905
