departure_date_local,timestamp_utc_start,timestamp_utc_end,carrier,flight_number,tail_number,origin_airport,destination_airport,attributed_contrail_km,eef_climatology_terajoules,analyzed_flight_length_km
2024-09-06,null,null,D0,701,GDHLY,CVG,BAH,null,null,1481.445516
2024-09-06,null,null,D0,375,GDHLE,CVG,BRU,null,null,1459.380764
2024-09-04,1725408273,1725408502,D0,3,GDHLU,NGO,CVG,52.90661853,29.81673428,2750.373712
2024-09-04,1725414803,1725414863,D0,3,GDHLU,NGO,CVG,15.85012157,9.437996342,2750.373712
2024-09-04,1725409239,1725409646,D0,3,GDHLU,NGO,CVG,114.1476109,69.5076126,2750.373712
2024-09-25,1727269166,1727269593,D0,3,GDHMA,CVG,EMA,113.7577837,14.54976555,2615.635654
2024-09-09,1725873125,1725873926,D0,653,GDHLU,HKG,LAX,200.9296056,83.23896463,1510.001589
2024-09-19,1726796124,1726796555,D0,843,GDHLP,BRU,CVG,103.0413134,62.26967476,1916.249578
2024-09-26,null,null,D0,51,GDHLY,LAX,EMA,null,null,2740.674428
2024-09-23,1727075000,1727075120,D0,2,GDHLX,LEJ,CVG,29.46126819,3.991296375,2017.469956
2024-09-23,1727077098,1727077283,D0,2,GDHLX,LEJ,CVG,43.51443805,5.974297295,2017.469956
2024-09-23,1727078190,1727078790,D0,2,GDHLX,LEJ,CVG,136.3832089,17.95416898,2017.469956
2024-09-10,null,null,D0,367,GDHLM,JFK,EMA,null,null,1463.688657
2024-09-17,null,null,D0,372,GDHLO,EMA,CVG,null,null,1900.705305
2024-09-09,null,null,D0,375,GDHLM,CVG,BRU,null,null,2112.076231
2024-09-06,null,null,D0,4,GDHMA,EMA,CVG,null,null,2374.750237
2024-09-07,1725688831,1725689010,D0,1,GDHMC,NGO,CVG,48.1344792,25.73627899,2247.642763
2024-09-07,1725687927,1725688178,D0,1,GDHMC,NGO,CVG,68.77787625,40.14890532,2247.642763
2024-09-03,null,null,D0,1,GDHLE,CVG,EMA,null,null,2014.381583
2024-09-03,null,null,D0,361,GDHLM,JFK,LEJ,null,null,1293.121505
2024-09-02,null,null,D0,384,GDHMB,LEJ,CVG,null,null,1817.18597
2024-09-03,null,null,D0,51,GDHLV,PVG,LAX,null,null,1199.996977
2024-09-27,null,null,D0,844,GDHLS,CVG,BRU,null,null,2398.359722
2024-09-04,null,null,D0,817,GDHLJ,LEJ,CVG,null,null,2146.575377
2024-09-30,null,null,D0,653,GDHLU,LAX,EMA,null,null,3225.64533
2024-09-06,1725631179,1725631582,D0,361,GDHLM,JFK,LEJ,103.0659502,11.40002621,1353.453883
2024-09-07,null,null,D0,1,GDHLL,CVG,EMA,null,null,1748.910271
2024-09-19,null,null,D0,1,GDHLE,CVG,EMA,null,null,2305.538855
2024-09-18,null,null,D0,372,GDHLE,EMA,CVG,null,null,1940.389408
2024-09-19,1726747769,1726747892,D0,367,GDHLO,JFK,EMA,32.89201426,3.967208918,1739.898211
2024-09-19,1726746624,1726746805,D0,367,GDHLO,JFK,EMA,48.88780227,5.699393736,1739.898211
2024-09-10,1725972681,1725972861,D0,4,GDHMB,CVG,NGO,43.48056292,1.409492496,2333.165626
2024-09-10,1725965969,1725966161,D0,4,GDHMB,CVG,NGO,48.4040763,2.699788492,2333.165626
2024-09-09,null,null,D0,653,GDHLU,LAX,EMA,null,null,1672.491661
2024-09-09,1725868768,1725869128,D0,2,GDHLV,LEJ,CVG,92.89766215,8.812663782,1873.310749
2024-09-26,1727397056,1727397211,D0,384,GDHLW,LEJ,CVG,36.61435949,24.76680215,1817.752957
2024-09-11,1726103080,1726103355,D0,384,GDHLY,LEJ,CVG,66.63663016,41.54502905,1964.891497
2024-09-11,null,null,D0,372,GDHLL,EMA,CVG,null,null,1839.040515
2024-09-18,1726658358,1726658737,D0,701,GDHLX,CVG,BAH,100.5625958,6.975509042,1898.515671
2024-09-18,1726662201,1726662743,D0,367,GDHLR,JFK,EMA,135.715318,15.94222989,1383.295504
2024-09-18,1726661475,1726661535,D0,367,GDHLR,JFK,EMA,15.16331866,1.783067164,1383.295504
2024-09-18,null,null,D0,375,GDHLO,CVG,BRU,null,null,2032.230801
2024-09-03,null,null,D0,384,GDHMC,LEJ,CVG,null,null,1982.53878
2024-09-04,null,null,D0,364,GDHLM,LEJ,JFK,null,null,1405.510933
2024-09-04,1725456341,1725456750,D0,361,GDHLM,JFK,LEJ,99.59203108,12.84320537,1472.080264
2024-09-04,1725459557,1725459882,D0,361,GDHLM,JFK,LEJ,68.68392841,7.661992586,1472.080264
2024-09-04,1725458903,1725459032,D0,361,GDHLM,JFK,LEJ,27.46658462,3.055035824,1472.080264
2024-09-04,1725457168,1725457219,D0,361,GDHLM,JFK,LEJ,12.11107396,1.542666528,1472.080264
2024-09-04,null,null,D0,701,GDHLW,CVG,BAH,null,null,2575.170174
2024-09-29,1727676143,1727676263,D0,844,GDHLE,CVG,BRU,31.23894842,6.65643985,2476.957245
2024-09-30,null,null,D0,375,GDHLR,CVG,BRU,null,null,2454.200104
2024-09-13,1726229121,1726229492,D0,701,GDHLW,CVG,BAH,99.65128769,9.724256774,2289.821938
2024-09-13,1726231174,1726231718,D0,367,GDHLJ,JFK,EMA,134.2265611,16.45907422,1430.393111
2024-09-13,null,null,D0,53,GDHLX,LAX,EMA,null,null,5013.509113
2024-09-12,null,null,D0,384,GDHLW,LEJ,CVG,null,null,1848.1926
2024-09-21,1726940322,1726940673,D0,364,GDHLR,MXP,JFK,83.09091471,9.83595325,1475.654094
2024-09-13,1726216600,1726217024,D0,364,GDHLO,LEJ,JFK,98.40221303,4.886728121,1303.508507
